"calendarYearReturns__portfolio","calendarYearReturns__endDate","calendarYearReturns__isInceptionYear","calendarYearReturns__period","rateOfReturnValues__date","rateOfReturnValues__value","rateOfReturnValues__portfolio","rateOfReturnValues__endDate","rateOfReturnValues__startDate","inceptionLabel"
"-0.0024516328","2018-08-08T00:00:00+10:00","False","2018 YTD","1/04/2009","1000","0","2009-04-01T00:00:00+11:00","0001-01-01T00:00:00+11:00","Inception: 1/04/2009"
"0.080830201","2017-12-31T00:00:00+11:00","False","2017","31/12/2009","1173","0.1729441372","2009-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"0.0486543201","2016-12-31T00:00:00+11:00","False","2016","31/12/2010","1238","0.1298389933","2010-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"0.007646995","2015-12-31T00:00:00+11:00","False","2015","31/12/2011","1163","0.0563404668","2011-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"0.0553371664","2014-12-31T00:00:00+11:00","False","2014","31/12/2012","1319","0.076525007","2012-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"0.1124907654","2013-12-31T00:00:00+11:00","False","2013","31/12/2013","1466","0.0838780107","2013-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"","","","","31/12/2014","1548","0.078961911","2014-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"","","","","31/12/2015","1565","0.0685689216","2015-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"","","","","31/12/2016","1638","0.0657201056","2016-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"","","","","31/12/2017","1773","0.0675583452","2017-12-31T00:00:00+11:00","2009-04-01T00:00:00+11:00",""
"","","","","8/08/2018","1765","0.062583142","2018-08-08T00:00:00+10:00","2009-04-01T00:00:00+11:00",""
